network_city,network_name,station_name,station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes
London,santander-cycles,"200032 - Kennington Oval, Oval",3e9342f574d2256a1e9482fbd14f84bf,51.483145,-0.113134,29,4,33
London,santander-cycles,"200039 - Sail Street, Vauxhall",735f87c6a19b1c9f4a7223d5e226b2c6,51.495656,-0.114605,6,18,24
London,santander-cycles,"200035 - Walmer Road, Avondale",cf4ca508a267b39144c43767b17eb289,51.510101,-0.211358,8,16,24
London,santander-cycles,"200033 - Philpot Street, Whitechapel",a6af68f6a64046c74531f4f7655eb209,51.515256,-0.058641,20,10,30
London,santander-cycles,"200047 - Bethnal Green Garden, Bethnal Green",eb5ff084d999d5a3e9e541fc821123fd,51.52568,-0.055312,7,17,24
London,santander-cycles,"200042 - York Hall, Bethnal Green",4ab25e79ef8c9921df430c66cef66e42,51.528936,-0.055894,12,15,27
London,santander-cycles,"200054 - Jubilee Crescent, Cubitt Town",52c242bf59e02288c985568d958fa5ef,51.493381,-0.007542,35,19,54
London,santander-cycles,"200020 - Shadwell Station, Shadwell",a39712a7eba5ca2a0efb17f94b2178f1,51.511088,-0.057159,18,17,35
London,santander-cycles,"200021 - Hermitage Court, Wapping",7240d3c05408687dddf5ea08c19d15de,51.504719,-0.063531,0,16,16
London,santander-cycles,"200046 - Napier Avenue, Millwall",9afd36f7e608b1b369689c4d565cefa5,51.487679,-0.021582,2,18,20
London,santander-cycles,"200031 - East Ferry Road, Cubitt Town",e8319b89edd629fd4a9d479c06a915d8,51.49447,-0.014409,4,13,17
London,santander-cycles,"200016 - Castlehaven Road, Camden Town",fad6a0e7960daa48c37dd90160f4043b,51.542138,-0.145393,17,12,29
London,santander-cycles,"200014 - Gunmakers Lane, Old Ford",ad15e1cee91ee88986be580b61415f32,51.535179,-0.03338,9,8,17
London,santander-cycles,"200013 - Aston Street, Stepney",e13b60d2ff2316396077beb9f6e950e2,51.516,-0.038775,15,11,26
London,santander-cycles,"200152 - Pitfield Street North,Hoxton",4b3917732d5087003e7fa0bfb9b7b652,51.53558,-0.08249,8,20,28
London,santander-cycles,"200158 - Whiston Road, Haggerston",8cc102540a117cc01347c213ffead6a1,51.534464,-0.076341,14,7,21
London,santander-cycles,"200168 - Southern Grove, Bow",0f942ff0a5dec38e456175dfeebf0c7d,51.523538,-0.030556,13,4,17
London,santander-cycles,"200150 - Cantrell Road, Bow",2b80a6a07465f920bf35dd5a913bec8c,51.521564,-0.022694,6,18,24
